,group,Pig,Tissue,Day,Treatment,Genus,value,All,value2,percent_tot
169,SRD129_P153_N_D36,153,N,36,IAV,Actinobacillus,0.000603029,36_IAV,0.008614705,0.060302934
170,SRD129_P153_N_D42,153,N,42,IAV,Actinobacillus,0.001146236,42_IAV,0.016374793,0.114623552
171,SRD129_P153_N_D7,153,N,7,IAV,Actinobacillus,0.172352624,7_IAV,2.462180337,17.23526236
172,SRD129_P154_N_D0,154,N,0,IAV,Actinobacillus,0.403444476,0_IAV,5.763492511,40.34444758
173,SRD129_P154_N_D1,154,N,1,IAV,Actinobacillus,0.561019567,1_IAV,8.014565249,56.10195675
174,SRD129_P154_N_D10,154,N,10,IAV,Actinobacillus,0.298526601,10_IAV,4.264665729,29.8526601
175,SRD129_P154_N_D14,154,N,14,IAV,Actinobacillus,0.193634672,14_IAV,2.766209601,19.3634672
176,SRD129_P154_N_D21,154,N,21,IAV,Actinobacillus,0.101599291,21_IAV,1.451418447,10.15992913
177,SRD129_P154_N_D3,154,N,3,IAV,Actinobacillus,0.353815328,3_IAV,5.054504687,35.38153281
178,SRD129_P154_N_D36,154,N,36,IAV,Actinobacillus,0.013821973,36_IAV,0.197456757,1.382197299
179,SRD129_P154_N_D42,154,N,42,IAV,Actinobacillus,0.002204478,42_IAV,0.031492536,0.220447754
180,SRD129_P154_N_D7,154,N,7,IAV,Actinobacillus,0.532185172,7_IAV,7.602645309,53.21851716
181,SRD129_P156_N_D0,156,N,0,IAV,Actinobacillus,0.211775252,0_IAV,3.025360749,21.17752525
182,SRD129_P156_N_D1,156,N,1,IAV,Actinobacillus,0.217293218,1_IAV,3.10418883,21.72932181
183,SRD129_P156_N_D10,156,N,10,IAV,Actinobacillus,0.133285065,10_IAV,1.904072364,13.32850655
184,SRD129_P156_N_D14,156,N,14,IAV,Actinobacillus,0.15076983,14_IAV,2.153854721,15.07698304
185,SRD129_P156_N_D21,156,N,21,IAV,Actinobacillus,0.076964742,21_IAV,1.099496313,7.696474188
186,SRD129_P156_N_D3,156,N,3,IAV,Actinobacillus,0.404786015,3_IAV,5.782657358,40.4786015
187,SRD129_P156_N_D36,156,N,36,IAV,Actinobacillus,0.002586541,36_IAV,0.036950591,0.258654136
188,SRD129_P156_N_D42,156,N,42,IAV,Actinobacillus,0.000770165,42_IAV,0.011002357,0.077016499
189,SRD129_P156_N_D7,156,N,7,IAV,Actinobacillus,0.380595461,7_IAV,5.437078017,38.05954612
190,SRD129_P157_N_D0,157,N,0,IAV,Actinobacillus,0.250417139,0_IAV,3.577387706,25.04171394
191,SRD129_P157_N_D1,157,N,1,IAV,Actinobacillus,0.264867923,1_IAV,3.783827467,26.48679227
192,SRD129_P157_N_D10,157,N,10,IAV,Actinobacillus,0.217664614,10_IAV,3.10949448,21.76646136
193,SRD129_P157_N_D14,157,N,14,IAV,Actinobacillus,0.185520362,14_IAV,2.650290886,18.5520362
194,SRD129_P157_N_D21,157,N,21,IAV,Actinobacillus,0.052963807,21_IAV,0.756625812,5.296380682
195,SRD129_P157_N_D3,157,N,3,IAV,Actinobacillus,0.36836465,3_IAV,5.262352137,36.83646496
196,SRD129_P157_N_D36,157,N,36,IAV,Actinobacillus,0.000474995,36_IAV,0.006785642,0.047499491
197,SRD129_P157_N_D42,157,N,42,IAV,Actinobacillus,0.000368078,42_IAV,0.005258252,0.036807763
198,SRD129_P157_N_D7,157,N,7,IAV,Actinobacillus,0.272005135,7_IAV,3.885787646,27.20051352
199,SRD129_P159_N_D0,159,N,0,IAV,Actinobacillus,0.086934482,0_IAV,1.241921176,8.693448232
200,SRD129_P159_N_D1,159,N,1,IAV,Actinobacillus,0.041616976,1_IAV,0.594528225,4.161697578
201,SRD129_P159_N_D10,159,N,10,IAV,Actinobacillus,0.113968815,10_IAV,1.628125933,11.39688153
202,SRD129_P159_N_D14,159,N,14,IAV,Actinobacillus,0.110168702,14_IAV,1.573838595,11.01687016
203,SRD129_P159_N_D21,159,N,21,IAV,Actinobacillus,0.019679979,21_IAV,0.281142553,1.967997872
204,SRD129_P159_N_D3,159,N,3,IAV,Actinobacillus,0.085562664,3_IAV,1.222323765,8.556266356
205,SRD129_P159_N_D36,159,N,36,IAV,Actinobacillus,0.000530504,36_IAV,0.007578628,0.053050398
206,SRD129_P159_N_D42,159,N,42,IAV,Actinobacillus,0.001588405,42_IAV,0.022691495,0.158840465
207,SRD129_P159_N_D7,159,N,7,IAV,Actinobacillus,0.083282303,7_IAV,1.189747179,8.328230251
208,SRD129_P160_N_D0,160,N,0,IAV,Actinobacillus,0.274941223,0_IAV,3.927731763,27.49412234
209,SRD129_P160_N_D1,160,N,1,IAV,Actinobacillus,0.225123854,1_IAV,3.216055053,22.51238537
210,SRD129_P160_N_D10,160,N,10,IAV,Actinobacillus,0.119516484,10_IAV,1.707378336,11.95164835
211,SRD129_P160_N_D14,160,N,14,IAV,Actinobacillus,0.030832571,14_IAV,0.440465299,3.083257091
212,SRD129_P160_N_D21,160,N,21,IAV,Actinobacillus,0.12787759,21_IAV,1.82682272,12.78775904
213,SRD129_P160_N_D3,160,N,3,IAV,Actinobacillus,0.178259965,3_IAV,2.54657093,17.82599651
214,SRD129_P160_N_D36,160,N,36,IAV,Actinobacillus,0.007938574,36_IAV,0.113408195,0.793857366
215,SRD129_P160_N_D42,160,N,42,IAV,Actinobacillus,0.002488889,42_IAV,0.035555556,0.248888889
216,SRD129_P160_N_D7,160,N,7,IAV,Actinobacillus,0.112024894,7_IAV,1.600355635,11.20248944
217,SRD129_P162_N_D0,162,N,0,Control,Actinobacillus,0.190911299,0_Control,1.909112986,19.09112986
218,SRD129_P162_N_D1,162,N,1,Control,Actinobacillus,0.357839488,1_Control,3.578394878,35.78394878
219,SRD129_P162_N_D10,162,N,10,Control,Actinobacillus,0.189138499,10_Control,1.891384987,18.91384987
220,SRD129_P162_N_D14,162,N,14,Control,Actinobacillus,0.040843806,14_Control,0.408438061,4.08438061
221,SRD129_P162_N_D21,162,N,21,Control,Actinobacillus,0.015002143,21_Control,0.150021432,1.500214316
222,SRD129_P162_N_D3,162,N,3,Control,Actinobacillus,0.267475651,3_Control,2.674756512,26.74756512
223,SRD129_P162_N_D36,162,N,36,Control,Actinobacillus,0.002596338,36_Control,0.025963378,0.25963378
224,SRD129_P162_N_D42,162,N,42,Control,Actinobacillus,0.001209044,42_Control,0.012090436,0.120904365
225,SRD129_P162_N_D7,162,N,7,Control,Actinobacillus,0.313552395,7_Control,3.13552395,31.3552395
226,SRD129_P163_N_D0,163,N,0,Control,Actinobacillus,0.155029522,0_Control,1.550295217,15.50295217
227,SRD129_P163_N_D1,163,N,1,Control,Actinobacillus,0.368528072,1_Control,3.685280717,36.85280717
228,SRD129_P163_N_D10,163,N,10,Control,Actinobacillus,0.210429347,10_Control,2.104293469,21.04293469
229,SRD129_P163_N_D14,163,N,14,Control,Actinobacillus,0.088546959,14_Control,0.885469589,8.854695892
230,SRD129_P163_N_D21,163,N,21,Control,Actinobacillus,0.141709774,21_Control,1.41709774,14.1709774
231,SRD129_P163_N_D3,163,N,3,Control,Actinobacillus,0.163059944,3_Control,1.630599437,16.30599437
232,SRD129_P163_N_D36,163,N,36,Control,Actinobacillus,0.060554544,36_Control,0.605545436,6.055454361
233,SRD129_P163_N_D42,163,N,42,Control,Actinobacillus,0.183437175,42_Control,1.834371755,18.34371755
234,SRD129_P163_N_D7,163,N,7,Control,Actinobacillus,0.448924367,7_Control,4.489243675,44.89243675
235,SRD129_P164_N_D0,164,N,0,Control,Actinobacillus,0.096720874,0_Control,0.967208744,9.672087443
236,SRD129_P164_N_D1,164,N,1,Control,Actinobacillus,0.269571536,1_Control,2.695715364,26.95715364
237,SRD129_P164_N_D10,164,N,10,Control,Actinobacillus,0.077537502,10_Control,0.775375024,7.753750244
238,SRD129_P164_N_D14,164,N,14,Control,Actinobacillus,0.006779048,14_Control,0.067790482,0.677904822
239,SRD129_P164_N_D21,164,N,21,Control,Actinobacillus,0.001610306,21_Control,0.01610306,0.161030596
240,SRD129_P164_N_D3,164,N,3,Control,Actinobacillus,0.054566598,3_Control,0.545665981,5.456659809
